gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	Sumai3_tgt_strand	Sumai3_tgt_midpoint	Sumai3_coverage	Sumai3_identity	segment
gene:TraesCS3D02G005500	Chr3D	2147110	2150436	-	2148773	Chr3D	3546551	3549594	+	3548072	0.972	0.944	rearrangement:Chr3D_block1
gene:TraesCS3D02G005800	Chr3D	2194172	2194792	-	2194482	Chr3D	3246200	3246817	+	3246508	0.995	0.95	rearrangement:Chr3D_block1
gene:TraesCS3D02G006100	Chr3D	2242930	2243343	-	2243136	Chr3D	3221192	3221605	+	3221398	1.0	0.971	rearrangement:Chr3D_block1
gene:TraesCS3D02G006600	Chr3D	2308597	2309333	+	2308965	Chr3D	3082606	3083340	-	3082973	0.998	0.93	rearrangement:Chr3D_block1
gene:TraesCS3D02G007100	Chr3D	2461836	2462258	-	2462047	Chr3D	2996410	2996817	+	2996613	0.964	0.938	rearrangement:Chr3D_block1
gene:TraesCS3D02G007400	Chr3D	2589848	2597476	+	2593662	Chr3D	2972375	2979994	-	2976184	0.99	0.916	rearrangement:Chr3D_block1
gene:TraesCS3D02G007500	Chr3D	2600356	2603119	-	2601737	Chr3D	2966144	2968998	+	2967571	1.0	0.966	rearrangement:Chr3D_block1
gene:TraesCS3D02G007600	Chr3D	2619155	2627987	+	2623571	Chr3D	2931396	2940197	-	2935796	0.974	0.932	rearrangement:Chr3D_block1
gene:TraesCS3D02G007700	Chr3D	2718295	2718750	+	2718522	Chr3D	2912714	2913163	-	2912938	0.967	0.907	rearrangement:Chr3D_block1
gene:TraesCS3D02G007800	Chr3D	2720422	2720769	+	2720595	Chr3D	2910942	2911289	-	2911115	1.0	0.942	rearrangement:Chr3D_block1
gene:TraesCS3D02G009300	Chr3D	3096999	3099806	-	3098402	Chr3D	2379944	2382864	+	2381404	1.0	0.971	rearrangement:Chr3D_block1
gene:TraesCS3D02G009500	Chr3D	3222057	3224575	-	3223316	Chr3D	2115467	2118074	-	2116770	0.996	0.954	rearrangement:Chr3D_block1
gene:TraesCS3D02G009900	Chr3D	3335586	3338459	+	3337022	Chr3D	1962774	1965636	-	1964205	0.985	0.911	rearrangement:Chr3D_block1
gene:TraesCS3D02G010100	Chr3D	3562690	3566990	-	3564840	Chr3D	1463532	1467744	+	1465638	1.0	0.968	rearrangement:Chr3D_block1
gene:TraesCS3D02G010500	Chr3D	3822452	3826397	-	3824424	Chr3D	1316198	1320028	-	1318113	0.98	0.937	rearrangement:Chr3D_block1
gene:TraesCS3D02G001900	Chr3D	865996	870567	-	868281	Chr3D	7166587	7171594	+	7169090	0.989	0.91	rearrangement:Chr3D_block2
gene:TraesCS3D02G002000	Chr3D	925863	930264	-	928063	Chr3D	7102237	7106748	+	7104492	0.993	0.936	rearrangement:Chr3D_block2
gene:TraesCS3D02G003500	Chr3D	1602462	1602965	-	1602713	Chr3D	6318865	6319377	+	6319121	1.0	0.939	rearrangement:Chr3D_block2
gene:TraesCS3D02G003600	Chr3D	1606509	1608807	-	1607658	Chr3D	6313351	6315655	+	6314503	0.988	0.947	rearrangement:Chr3D_block2
gene:TraesCS3D02G003700	Chr3D	1634040	1636188	-	1635114	Chr3D	6296183	6298328	+	6297255	0.998	0.955	rearrangement:Chr3D_block2
gene:TraesCS3D02G003800	Chr3D	1638722	1640647	-	1639684	Chr3D	6291729	6293592	+	6292660	0.937	0.912	rearrangement:Chr3D_block2
gene:TraesCS3D02G003900	Chr3D	1655945	1659437	+	1657691	Chr3D	6229465	6233008	-	6231236	0.988	0.907	rearrangement:Chr3D_block2
gene:TraesCS3D02G004100	Chr3D	1733084	1736612	-	1734848	Chr3D	6217618	6221410	+	6219514	0.97	0.922	rearrangement:Chr3D_block2
gene:TraesCS3D02G004300	Chr3D	1748596	1750441	+	1749518	Chr3D	6207198	6209038	-	6208118	0.991	0.936	rearrangement:Chr3D_block2
gene:TraesCS3D02G004800	Chr3D	1882953	1883660	+	1883306	Chr3D	5662085	5662791	-	5662438	0.998	0.956	rearrangement:Chr3D_block2
gene:TraesCS3D02G004900	Chr3D	1889301	1890762	+	1890031	Chr3D	5655670	5657131	-	5656400	0.998	0.979	rearrangement:Chr3D_block2
gene:TraesCS3D02G010900	Chr3D	4012104	4013109	+	4012606	Chr3D	7845601	7846607	+	7846104	0.996	0.965	rearrangement:Chr3D_block2
gene:TraesCS3D02G011000	Chr3D	4044313	4045303	-	4044808	Chr3D	7850124	7851136	-	7850630	0.998	0.951	rearrangement:Chr3D_block2
gene:TraesCS3D02G011100	Chr3D	4045939	4046830	+	4046384	Chr3D	7851766	7852656	+	7852211	0.998	0.922	rearrangement:Chr3D_block2
gene:TraesCS3D02G011200	Chr3D	4066322	4069230	-	4067776	Chr3D	7871004	7873904	-	7872454	0.991	0.936	rearrangement:Chr3D_block2
gene:TraesCS3D02G012000	Chr3D	4179986	4182963	-	4181474	Chr3D	8033910	8036934	-	8035422	1.0	0.952	rearrangement:Chr3D_block2
gene:TraesCS3D02G012300	Chr3D	4317721	4319482	+	4318601	Chr3D	8062525	8064257	+	8063391	0.982	0.937	rearrangement:Chr3D_block2
gene:TraesCS3D02G013100	Chr3D	4504881	4506056	+	4505468	Chr3D	8448318	8449473	-	8448895	0.984	0.906	rearrangement:Chr3D_block2
gene:TraesCS3D02G013500	Chr3D	4866164	4866673	-	4866418	Chr3D	8522477	8522986	-	8522731	1.0	0.901	rearrangement:Chr3D_block2
gene:TraesCS3D02G013700	Chr3D	4956998	4957663	-	4957330	Chr3D	9088831	9089495	-	9089163	1.0	0.958	rearrangement:Chr3D_block2
gene:TraesCS3D02G014200	Chr3D	4986566	4990029	+	4988297	Chr3D	9032601	9036293	+	9034447	1.0	0.955	rearrangement:Chr3D_block2
gene:TraesCS3D02G015200	Chr3D	5372968	5376568	-	5374768	Chr3D	9370420	9374021	+	9372220	1.0	0.949	rearrangement:Chr3D_block2
gene:TraesCS3D02G015400	Chr3D	5411900	5412617	+	5412258	Chr3D	9711586	9712305	+	9711945	1.0	0.955	rearrangement:Chr3D_block2
gene:TraesCS3D02G015600	Chr3D	5601666	5605871	-	5603768	Chr3D	9839428	9843546	-	9841487	0.939	0.9	rearrangement:Chr3D_block2
gene:TraesCS3D02G015900	Chr3D	5649356	5651648	+	5650502	Chr3D	9878583	9880989	+	9879786	1.0	0.953	rearrangement:Chr3D_block2
gene:TraesCS3D02G016300	Chr3D	5733130	5737195	-	5735162	Chr3D	10076919	10080864	+	10078891	1.0	0.954	rearrangement:Chr3D_block2
gene:TraesCS3D02G016400	Chr3D	5757697	5761111	-	5759404	Chr3D	10059716	10063046	+	10061381	1.0	0.967	rearrangement:Chr3D_block2
gene:TraesCS3D02G016500	Chr3D	5790619	5794367	+	5792493	Chr3D	10085680	10089916	+	10087798	0.999	0.963	rearrangement:Chr3D_block2
gene:TraesCS3D02G016600	Chr3D	5802877	5804191	+	5803534	Chr3D	10097201	10098335	+	10097768	0.998	0.937	rearrangement:Chr3D_block2
gene:TraesCS3D02G016800	Chr3D	5812552	5813779	-	5813165	Chr3D	10032636	10033897	+	10033266	1.0	0.958	rearrangement:Chr3D_block2
gene:TraesCS3D02G017300	Chr3D	5869810	5873304	+	5871557	Chr3D	10217646	10221280	+	10219463	0.982	0.928	rearrangement:Chr3D_block2
gene:TraesCS3D02G017400	Chr3D	5875424	5880650	-	5878037	Chr3D	10224712	10229958	-	10227335	0.994	0.956	rearrangement:Chr3D_block2
gene:TraesCS3D02G017600	Chr3D	6013194	6015417	-	6014305	Chr3D	10349901	10352159	-	10351030	0.983	0.955	rearrangement:Chr3D_block2
gene:TraesCS3D02G017700	Chr3D	6016878	6020801	-	6018839	Chr3D	10353613	10357566	-	10355589	0.98	0.934	rearrangement:Chr3D_block2
gene:TraesCS3D02G018100	Chr3D	6140574	6142644	+	6141609	Chr3D	10545271	10547334	+	10546302	1.0	0.919	rearrangement:Chr3D_block2
gene:TraesCS3D02G018200	Chr3D	6146779	6149852	-	6148315	Chr3D	10552994	10556102	-	10554548	0.996	0.942	rearrangement:Chr3D_block2
gene:TraesCS3D02G018500	Chr3D	6193030	6193813	+	6193421	Chr3D	10659539	10660342	+	10659940	0.996	0.938	rearrangement:Chr3D_block2
gene:TraesCS3D02G018800	Chr3D	6339983	6345137	-	6342560	Chr3D	10933168	10936833	-	10935000	0.996	0.952	rearrangement:Chr3D_block2
gene:TraesCS3D02G018900	Chr3D	6402986	6406703	-	6404844	Chr3D	11111784	11115427	-	11113605	0.98	0.933	rearrangement:Chr3D_block2
gene:TraesCS3D02G019000	Chr3D	6409208	6414977	+	6412092	Chr3D	11118231	11123570	+	11120900	0.986	0.952	rearrangement:Chr3D_block2
gene:TraesCS3D02G019200	Chr3D	6429393	6431005	+	6430199	Chr3D	11155192	11156800	+	11155996	1.0	0.947	rearrangement:Chr3D_block2
gene:TraesCS3D02G019300	Chr3D	6454547	6456104	-	6455325	Chr3D	11167132	11168675	-	11167903	0.983	0.953	rearrangement:Chr3D_block2
gene:TraesCS3D02G019400	Chr3D	6459775	6460973	-	6460374	Chr3D	11172369	11173526	-	11172947	0.96	0.902	rearrangement:Chr3D_block2
gene:TraesCS3D02G019700	Chr3D	6661700	6666999	+	6664349	Chr3D	11335205	11340549	+	11337877	0.978	0.938	rearrangement:Chr3D_block2
gene:TraesCS3D02G019800	Chr3D	6676491	6678131	+	6677311	Chr3D	11440447	11442057	+	11441252	0.997	0.941	rearrangement:Chr3D_block2
gene:TraesCS3D02G019900	Chr3D	6726405	6730004	+	6728204	Chr3D	11459633	11463224	+	11461428	0.985	0.921	rearrangement:Chr3D_block2
gene:TraesCS3D02G020000	Chr3D	6730187	6733680	-	6731933	Chr3D	11463370	11466834	-	11465102	0.982	0.936	rearrangement:Chr3D_block2
gene:TraesCS3D02G020200	Chr3D	6745804	6753986	+	6749895	Chr3D	11502162	11510571	+	11506366	0.971	0.948	rearrangement:Chr3D_block2
gene:TraesCS3D02G021400	Chr3D	7089626	7090567	-	7090096	Chr3D	11593719	11594660	-	11594189	0.991	0.923	rearrangement:Chr3D_block2
gene:TraesCS3D02G021500	Chr3D	7094080	7094604	+	7094342	Chr3D	11599935	11600453	+	11600194	0.98	0.928	rearrangement:Chr3D_block2
gene:TraesCS3D02G021700	Chr3D	7122252	7124816	-	7123534	Chr3D	11658293	11660597	-	11659445	0.984	0.93	rearrangement:Chr3D_block2
gene:TraesCS3D02G021800	Chr3D	7129785	7134595	+	7132190	Chr3D	11664005	11669187	+	11666596	0.996	0.963	rearrangement:Chr3D_block2
gene:TraesCS3D02G022400	Chr3D	7219253	7227153	+	7223203	Chr3D	11702556	11711570	+	11707063	0.995	0.974	rearrangement:Chr3D_block2
gene:TraesCS3D02G022500	Chr3D	7228063	7229549	+	7228806	Chr3D	11712482	11713954	+	11713218	0.997	0.957	rearrangement:Chr3D_block2
