cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr7D	4502433	8746629	Chr7D	111978	4207606	97	0.9966907216494846
Chr7D	9032795	13887459	Chr7D	8709632	13098769	64	0.995484375
Chr7D	210218	4424964	Chr7D	4284781	8576596	72	0.9949444444444444
Chr7D	14421585	277735513	Chr7D	14709915	285856188	2436	0.999218801313629
Chr7D	282874482	285683864	Chr7D	291028142	293873699	5	0.9906
Chr7D	287902401	307163278	Chr7D	296072117	315230516	41	0.9992195121951221
Chr7D	309504249	321972400	Chr7D	317557739	329927374	20	0.9999
Chr7D	324339077	340299388	Chr7D	332292762	348149616	19	0.9998421052631579
Chr7D	342405820	626833236	Chr7D	350206465	640321626	2338	0.9990718562874251
Chr7D	630678255	638667898	Chr7D	640579199	648628802	142	0.9995845070422533
Chr7D	626909448	627450937	Chr7D	653045625	653579426	21	0.9996190476190476
Chr7D	630273130	630625672	Chr7D	648681298	649029776	8	1.0
