cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr6A	57605	162912229	Chr6A	21375	165383567	1443	0.9920783090783091
Chr6A	166503285	172174207	Chr6A	168925019	174575806	30	0.9994666666666667
Chr6A	174450789	233957452	Chr6A	176833206	235904106	206	0.999106796116505
Chr6A	241266065	242194840	Chr6A	243138703	244055012	3	1.0
Chr6A	248542355	252837117	Chr6A	250473334	254732958	8	1.0
Chr6A	254937051	261705155	Chr6A	256936141	263681872	22	0.9993636363636363
Chr6A	263891514	273262995	Chr6A	265850917	275356747	22	0.9984999999999999
Chr6A	276303162	290261504	Chr6A	279064082	294969498	20	0.9998000000000001
Chr6A	297918322	317154843	Chr6A	301541516	320589006	21	0.9997619047619049
Chr6A	321270304	324290097	Chr6A	324662139	327628571	8	0.9995
Chr6A	326393120	330049812	Chr6A	329710358	333359128	6	1.0
Chr6A	332183472	344185082	Chr6A	335483119	347403825	16	0.9955
Chr6A	346572929	346594380	Chr6A	349777782	349799233	3	1.0
Chr6A	351830716	353340072	Chr6A	355122020	356624182	4	0.999
Chr6A	355403353	526163009	Chr6A	358676340	528577467	865	0.9990069364161851
Chr6A	528582629	617935753	Chr6A	530974130	622271040	1212	0.9983770627062707
