cs_chr	cs_start	cs_end	Sumai3_tgt_chr	Sumai3_tgt_start	Sumai3_tgt_end	n_anchors	mean_identity
Chr4D	410678	140903099	Chr4D	189286	143162418	1424	0.9991460674157304
Chr4D	143579930	155648423	Chr4D	145821742	157819430	16	0.99975
Chr4D	163412513	183387226	Chr4D	165574841	186100417	26	0.9998846153846154
Chr4D	188710899	192736636	Chr4D	193004239	196997747	6	0.9998333333333332
Chr4D	195017915	198583229	Chr4D	199266414	202801151	7	0.9997142857142858
Chr4D	201443437	203640292	Chr4D	206091175	210849087	5	1.0
Chr4D	206058187	212157624	Chr4D	213067272	218984948	21	0.999
Chr4D	214312396	228145178	Chr4D	221115453	234863370	23	0.9997391304347826
Chr4D	230482531	238626311	Chr4D	237058497	245372625	11	0.9996363636363637
Chr4D	240933419	248933627	Chr4D	247662813	256524662	19	0.9995263157894737
Chr4D	251524682	256552996	Chr4D	259095064	264088906	7	0.995
Chr4D	258897131	261254698	Chr4D	266410350	268810480	6	1.0
Chr4D	263946972	268074619	Chr4D	271489159	275572895	7	0.9982857142857142
Chr4D	270654719	329311457	Chr4D	278155663	336933866	243	0.9990164609053498
Chr4D	331638064	375735889	Chr4D	339238924	383315720	302	0.9993741721854306
Chr4D	377828182	410407878	Chr4D	385410722	421145696	237	0.9994556962025316
Chr4D	412715801	507714684	Chr4D	423931457	521328967	1105	0.9990280542986425
