gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS5B03G0000300	Chr5B	16033	21153	+	18593	Chr5B	7173064	7178186	-	7175625	1.0	1.0
gene:TraesCS5B03G0000800	Chr5B	85900	87414	-	86657	Chr5B	7106794	7108308	+	7107551	1.0	1.0
gene:TraesCS5B03G0000900	Chr5B	208601	214218	+	211409	Chr5B	6979986	6985603	-	6982794	1.0	1.0
gene:TraesCS5B03G0001100	Chr5B	214767	217901	-	216334	Chr5B	6976303	6979437	+	6977870	1.0	1.0
gene:TraesCS5B03G0001200	Chr5B	227704	231809	+	229756	Chr5B	6962395	6966500	-	6964447	1.0	1.0
gene:TraesCS5B03G0001300	Chr5B	606261	606584	-	606422	Chr5B	6502474	6502797	+	6502635	1.0	1.0
gene:TraesCS5B03G0001600	Chr5B	1005121	1009642	+	1007381	Chr5B	7630372	7634895	-	7632633	1.0	1.0
gene:TraesCS5B03G0001700	Chr5B	1104112	1106464	+	1105288	Chr5B	7533549	7535901	-	7534725	1.0	1.0
gene:TraesCS5B03G0001800	Chr5B	1110422	1112273	-	1111347	Chr5B	7527740	7529591	+	7528665	1.0	1.0
gene:TraesCS5B03G0001900	Chr5B	1209448	1212378	+	1210913	Chr5B	7427614	7430544	-	7429079	1.0	1.0
gene:TraesCS5B03G0002100	Chr5B	1405738	1406672	+	1406205	Chr5B	7202679	7203613	-	7203146	1.0	1.0
gene:TraesCS5B03G0009300	Chr5B	6274906	6278095	-	6276500	Chr5B	8957172	8960361	-	8958766	1.0	1.0
gene:TraesCS5B03G0009600	Chr5B	6421687	6425565	-	6423626	Chr5B	9103097	9106975	-	9105036	1.0	1.0
gene:TraesCS5B03G0009700	Chr5B	6450124	6464864	+	6457494	Chr5B	9131535	9146241	+	9138888	1.0	0.998
gene:TraesCS5B03G0009800	Chr5B	6475062	6478760	-	6476911	Chr5B	9156436	9160134	-	9158285	1.0	1.0
gene:TraesCS5B03G0009900	Chr5B	6523497	6531811	+	6527654	Chr5B	9204927	9213239	+	9209083	1.0	1.0
gene:TraesCS5B03G0010200	Chr5B	6557311	6558336	+	6557823	Chr5B	9238738	9239763	+	9239250	1.0	1.0
gene:TraesCS5B03G0010600	Chr5B	6627478	6644259	+	6635868	Chr5B	9308978	9325761	+	9317369	1.0	1.0
gene:TraesCS5B03G0011300	Chr5B	6679420	6682699	+	6681059	Chr5B	9360922	9364201	+	9362561	1.0	1.0
gene:TraesCS5B03G0011400	Chr5B	6701850	6705413	+	6703631	Chr5B	9383205	9386768	+	9384986	1.0	1.0
gene:TraesCS5B03G0011500	Chr5B	6706639	6711139	+	6708889	Chr5B	9387696	9392196	+	9389946	1.0	1.0
gene:TraesCS5B03G0011800	Chr5B	6715953	6734079	+	6725016	Chr5B	9397010	9415136	+	9406073	1.0	1.0
gene:TraesCS5B03G0012000	Chr5B	6891065	6894289	-	6892677	Chr5B	9583568	9586792	-	9585180	1.0	1.0
gene:TraesCS5B03G0012700	Chr5B	6974763	6984323	-	6979543	Chr5B	9666036	9675596	-	9670816	1.0	1.0
gene:TraesCS5B03G0013000	Chr5B	7024791	7026752	+	7025771	Chr5B	9715482	9717443	+	9716462	1.0	1.0
gene:TraesCS5B03G0012900	Chr5B	7022108	7032100	+	7027104	Chr5B	9712799	9722791	+	9717795	1.0	1.0
gene:TraesCS5B03G0013400	Chr5B	7077724	7083197	-	7080460	Chr5B	9775115	9780588	-	9777851	1.0	1.0
gene:TraesCS5B03G0013600	Chr5B	7124941	7128118	-	7126529	Chr5B	9821959	9825136	-	9823547	1.0	1.0
gene:TraesCS5B03G0013700	Chr5B	7175983	7176264	-	7176123	Chr5B	9872579	9872860	-	9872719	1.0	1.0
gene:TraesCS5B03G0014000	Chr5B	7204960	7205447	-	7205203	Chr5B	9901376	9901863	-	9901619	1.0	1.0
gene:TraesCS5B03G0014100	Chr5B	7240428	7241179	-	7240803	Chr5B	9936844	9937595	-	9937219	1.0	1.0
gene:TraesCS5B03G0014300	Chr5B	7359600	7360287	-	7359943	Chr5B	10056040	10056727	-	10056383	1.0	1.0
gene:TraesCS5B03G0014400	Chr5B	7410008	7410495	-	7410251	Chr5B	10106448	10106935	-	10106691	1.0	1.0
gene:TraesCS5B03G0014500	Chr5B	7437158	7437645	-	7437401	Chr5B	10133610	10134097	-	10133853	1.0	1.0
gene:TraesCS5B03G0014600	Chr5B	7592627	7597126	-	7594876	Chr5B	10289145	10293644	-	10291394	1.0	1.0
gene:TraesCS5B03G0014800	Chr5B	7755553	7759308	-	7757430	Chr5B	10452066	10455821	-	10453943	1.0	1.0
gene:TraesCS5B03G0015100	Chr5B	7985700	7994441	-	7990070	Chr5B	10681817	10690558	-	10686187	1.0	1.0
gene:TraesCS5B03G0015300	Chr5B	8044868	8056936	-	8050902	Chr5B	10740632	10752700	-	10746666	1.0	1.0
gene:TraesCS5B03G0015500	Chr5B	8136091	8146344	+	8141217	Chr5B	10830922	10841175	+	10836048	1.0	1.0
gene:TraesCS5B03G0015900	Chr5B	8231890	8236662	+	8234276	Chr5B	10929833	10934605	+	10932219	1.0	1.0
gene:TraesCS5B03G0016100	Chr5B	8246419	8248728	-	8247573	Chr5B	10943920	10946229	-	10945074	1.0	1.0
gene:TraesCS5B03G0016300	Chr5B	8403122	8405146	+	8404134	Chr5B	11098698	11100722	+	11099710	1.0	1.0
gene:TraesCS5B03G0016400	Chr5B	8412291	8414400	+	8413345	Chr5B	11107867	11109976	+	11108921	1.0	1.0
gene:TraesCS5B03G0017000	Chr5B	8435064	8439898	-	8437481	Chr5B	11130640	11135474	-	11133057	1.0	1.0
gene:TraesCS5B03G0017300	Chr5B	8578315	8592199	+	8585257	Chr5B	11272649	11286533	+	11279591	1.0	1.0
gene:TraesCS5B03G0017500	Chr5B	8592762	8599391	-	8596076	Chr5B	11287096	11293725	-	11290410	1.0	0.997
gene:TraesCS5B03G0017600	Chr5B	8929166	8931564	-	8930365	Chr5B	11647988	11650386	-	11649187	1.0	1.0
gene:TraesCS5B03G0018000	Chr5B	8959192	8973203	-	8966197	Chr5B	11678014	11692025	-	11685019	1.0	1.0
gene:TraesCS5B03G0018200	Chr5B	8987169	8989682	-	8988425	Chr5B	11705989	11708502	-	11707245	1.0	1.0
gene:TraesCS5B03G0018300	Chr5B	8990141	8990908	-	8990524	Chr5B	11708961	11709728	-	11709344	1.0	1.0
gene:TraesCS5B03G0018500	Chr5B	8999069	8999971	-	8999520	Chr5B	11717889	11718791	-	11718340	1.0	1.0
gene:TraesCS5B03G0019100	Chr5B	9063135	9063958	+	9063546	Chr5B	11781956	11782779	+	11782367	1.0	1.0
gene:TraesCS5B03G0019200	Chr5B	9094473	9094694	+	9094583	Chr5B	11813294	11813515	+	11813404	1.0	1.0
gene:TraesCS5B03G0019300	Chr5B	9098241	9101504	+	9099872	Chr5B	11817062	11820325	+	11818693	1.0	1.0
gene:TraesCS5B03G0019500	Chr5B	9128880	9132494	+	9130687	Chr5B	11847701	11851316	+	11849508	1.0	1.0
gene:TraesCS5B03G0019600	Chr5B	9270520	9274061	-	9272290	Chr5B	11989338	11992879	-	11991108	1.0	1.0
gene:TraesCS5B03G0019700	Chr5B	9291833	9292246	+	9292039	Chr5B	12010651	12011064	+	12010857	1.0	1.0
gene:TraesCS5B03G0019900	Chr5B	9309126	9311271	+	9310198	Chr5B	12027940	12030085	+	12029012	1.0	1.0
gene:TraesCS5B03G0020000	Chr5B	9311350	9315370	-	9313360	Chr5B	12030164	12034184	-	12032174	1.0	1.0
gene:TraesCS5B03G0020200	Chr5B	9331528	9333209	+	9332368	Chr5B	12050347	12052028	+	12051187	1.0	1.0
gene:TraesCS5B03G0020300	Chr5B	9336604	9337029	+	9336816	Chr5B	12055423	12055848	+	12055635	1.0	1.0
gene:TraesCS5B03G0020400	Chr5B	9346778	9347669	+	9347223	Chr5B	12065597	12066488	+	12066042	1.0	1.0
gene:TraesCS5B03G0020500	Chr5B	9350147	9351646	+	9350896	Chr5B	12068966	12070465	+	12069715	1.0	1.0
gene:TraesCS5B03G0020600	Chr5B	9380809	9382659	-	9381734	Chr5B	12099626	12101476	-	12100551	1.0	1.0
gene:TraesCS5B03G0020700	Chr5B	9403400	9406313	+	9404856	Chr5B	12122218	12125131	+	12123674	1.0	1.0
gene:TraesCS5B03G0020800	Chr5B	9468227	9470148	+	9469187	Chr5B	12187049	12188970	+	12188009	1.0	1.0
gene:TraesCS5B03G0021000	Chr5B	9571961	9572791	-	9572376	Chr5B	12290794	12291624	-	12291209	1.0	1.0
gene:TraesCS5B03G0021200	Chr5B	9587651	9588520	+	9588085	Chr5B	12306484	12307353	+	12306918	1.0	1.0
gene:TraesCS5B03G0021800	Chr5B	9717192	9720543	-	9718867	Chr5B	12435849	12439200	-	12437524	1.0	1.0
gene:TraesCS5B03G0022000	Chr5B	9855474	9864520	+	9859997	Chr5B	12573952	12582997	+	12578474	1.0	1.0
gene:TraesCS5B03G0022200	Chr5B	10106300	10110457	-	10108378	Chr5B	12824782	12828937	-	12826859	1.0	1.0
gene:TraesCS5B03G0022600	Chr5B	10214304	10220355	-	10217329	Chr5B	12932785	12938836	-	12935810	1.0	1.0
gene:TraesCS5B03G0022700	Chr5B	10307002	10310651	-	10308826	Chr5B	13025483	13029132	-	13027307	1.0	1.0
gene:TraesCS5B03G0022900	Chr5B	10391195	10392453	+	10391824	Chr5B	13109694	13110952	+	13110323	1.0	1.0
gene:TraesCS5B03G0023200	Chr5B	10474262	10476974	+	10475618	Chr5B	13191566	13194278	+	13192922	1.0	1.0
gene:TraesCS5B03G0023300	Chr5B	10483169	10487009	-	10485089	Chr5B	13200473	13204313	-	13202393	1.0	1.0
gene:TraesCS5B03G0023400	Chr5B	10487058	10495071	-	10491064	Chr5B	13204362	13212375	-	13208368	1.0	1.0
gene:TraesCS5B03G0023800	Chr5B	10569581	10572063	-	10570822	Chr5B	13285667	13288149	-	13286908	1.0	1.0
gene:TraesCS5B03G0023900	Chr5B	11094914	11095366	+	11095140	Chr5B	13836666	13837118	+	13836892	1.0	1.0
gene:TraesCS5B03G0024100	Chr5B	11123414	11123869	+	11123641	Chr5B	13865167	13865622	+	13865394	1.0	1.0
gene:TraesCS5B03G0024200	Chr5B	11126365	11127792	+	11127078	Chr5B	13868118	13869545	+	13868831	1.0	1.0
gene:TraesCS5B03G0024800	Chr5B	11356992	11359994	-	11358493	Chr5B	14098347	14101349	-	14099848	1.0	1.0
gene:TraesCS5B03G0025000	Chr5B	11505766	11509181	+	11507473	Chr5B	14247138	14250553	+	14248845	1.0	1.0
gene:TraesCS5B03G0025300	Chr5B	11528508	11529623	+	11529065	Chr5B	14269884	14270999	+	14270441	1.0	1.0
gene:TraesCS5B03G0025500	Chr5B	11553967	11555073	+	11554520	Chr5B	14295346	14296452	+	14295899	1.0	1.0
gene:TraesCS5B03G0025700	Chr5B	11563724	11567657	+	11565690	Chr5B	14305102	14309035	+	14307068	1.0	1.0
gene:TraesCS5B03G0025800	Chr5B	11599622	11605376	-	11602499	Chr5B	14341004	14346758	-	14343881	1.0	1.0
gene:TraesCS5B03G0025900	Chr5B	11653192	11653452	-	11653322	Chr5B	14394578	14394838	-	14394708	1.0	1.0
gene:TraesCS5B03G0026100	Chr5B	11812338	11822104	-	11817221	Chr5B	14562529	14572295	-	14567412	1.0	1.0
gene:TraesCS5B03G0026400	Chr5B	12310257	12315207	-	12312732	Chr5B	15050751	15055701	-	15053226	1.0	1.0
gene:TraesCS5B03G0026600	Chr5B	12370913	12372013	-	12371463	Chr5B	15111408	15112508	-	15111958	1.0	1.0
gene:TraesCS5B03G0026700	Chr5B	12374135	12378689	-	12376412	Chr5B	15114630	15119184	-	15116907	1.0	1.0
gene:TraesCS5B03G0026800	Chr5B	12379835	12384505	-	12382170	Chr5B	15120330	15125000	-	15122665	1.0	1.0
gene:TraesCS5B03G0027400	Chr5B	12612938	12617664	-	12615301	Chr5B	15365583	15370309	-	15367946	1.0	1.0
gene:TraesCS5B03G0027500	Chr5B	12619611	12627348	+	12623479	Chr5B	15372256	15379993	+	15376124	1.0	1.0
gene:TraesCS5B03G0027600	Chr5B	12629960	12631747	+	12630853	Chr5B	15382604	15384391	+	15383497	1.0	1.0
gene:TraesCS5B03G0027700	Chr5B	12708205	12708903	+	12708554	Chr5B	15460849	15461547	+	15461198	1.0	1.0
gene:TraesCS5B03G0027900	Chr5B	12894311	12907141	-	12900726	Chr5B	15646957	15659787	-	15653372	1.0	1.0
gene:TraesCS5B03G0028100	Chr5B	13129670	13134023	-	13131846	Chr5B	15882317	15886668	-	15884492	0.999	0.999
gene:TraesCS5B03G0028200	Chr5B	13220273	13224136	+	13222204	Chr5B	15972926	15976789	+	15974857	1.0	1.0
gene:TraesCS5B03G0028300	Chr5B	13224220	13225588	-	13224904	Chr5B	15976873	15978238	-	15977555	0.997	0.991
gene:TraesCS5B03G0028400	Chr5B	13232245	13237196	+	13234720	Chr5B	15984896	15989848	+	15987372	1.0	1.0
gene:TraesCS5B03G0028900	Chr5B	13269693	13271649	-	13270671	Chr5B	16022344	16024300	-	16023322	1.0	1.0
gene:TraesCS5B03G0029100	Chr5B	13314077	13314463	+	13314270	Chr5B	16066732	16067118	+	16066925	1.0	1.0
gene:TraesCS5B03G0029200	Chr5B	13317363	13325016	-	13321189	Chr5B	16070018	16077671	-	16073844	1.0	1.0
gene:TraesCS5B03G0029300	Chr5B	13396832	13400806	+	13398819	Chr5B	16149497	16153471	+	16151484	1.0	1.0
gene:TraesCS5B03G0029500	Chr5B	13403971	13404722	-	13404346	Chr5B	16156633	16157384	-	16157008	1.0	1.0
gene:TraesCS5B03G0029800	Chr5B	13469112	13478889	-	13474000	Chr5B	16221198	16230975	-	16226086	1.0	1.0
gene:TraesCS5B03G0030200	Chr5B	13526485	13533166	-	13529825	Chr5B	16278571	16285252	-	16281911	1.0	1.0
gene:TraesCS5B03G0030400	Chr5B	13538016	13539589	-	13538802	Chr5B	16290092	16291665	-	16290878	1.0	1.0
gene:TraesCS5B03G0030600	Chr5B	13739040	13742577	+	13740808	Chr5B	16490223	16493760	+	16491991	1.0	1.0
gene:TraesCS5B03G0030700	Chr5B	13742889	13746219	-	13744554	Chr5B	16494072	16497402	-	16495737	1.0	1.0
gene:TraesCS5B03G0030800	Chr5B	13753139	13756858	-	13754998	Chr5B	16503987	16507706	-	16505846	1.0	1.0
gene:TraesCS5B03G0030900	Chr5B	13761639	13766090	+	13763864	Chr5B	16512409	16516860	+	16514634	1.0	1.0
gene:TraesCS5B03G0031200	Chr5B	13813226	13815754	-	13814490	Chr5B	16564154	16566682	-	16565418	1.0	1.0
gene:TraesCS5B03G0031700	Chr5B	13897917	13901506	+	13899711	Chr5B	16648842	16652431	+	16650636	1.0	1.0
gene:TraesCS5B03G0032000	Chr5B	13958974	13962434	+	13960704	Chr5B	17057891	17061351	+	17059621	1.0	1.0
gene:TraesCS5B03G0032200	Chr5B	14182176	14194472	-	14188324	Chr5B	17280629	17292925	-	17286777	1.0	1.0
gene:TraesCS5B03G0032300	Chr5B	14229159	14231884	-	14230521	Chr5B	17327612	17330337	-	17328974	1.0	1.0
gene:TraesCS5B03G0032700	Chr5B	14442702	14446192	-	14444447	Chr5B	17541164	17544654	-	17542909	1.0	1.0
gene:TraesCS5B03G0034100	Chr5B	14735969	14739364	+	14737666	Chr5B	17833517	17836912	+	17835214	1.0	1.0
gene:TraesCS5B03G0034400	Chr5B	14964550	14964981	-	14964765	Chr5B	18073254	18073685	-	18073469	1.0	1.0
gene:TraesCS5B03G0034500	Chr5B	14967780	14968459	-	14968119	Chr5B	18076484	18077163	-	18076823	1.0	1.0
gene:TraesCS5B03G0034800	Chr5B	15060069	15060977	-	15060523	Chr5B	18168785	18169693	-	18169239	1.0	1.0
gene:TraesCS5B03G0035100	Chr5B	15104616	15105443	+	15105029	Chr5B	18213329	18214156	+	18213742	1.0	1.0
gene:TraesCS5B03G0035300	Chr5B	15107932	15108639	+	15108285	Chr5B	18216644	18217351	+	18216997	1.0	1.0
gene:TraesCS5B03G0035400	Chr5B	15128993	15130601	+	15129797	Chr5B	18237706	18239314	+	18238510	1.0	1.0
gene:TraesCS5B03G0035500	Chr5B	15147679	15148176	+	15147927	Chr5B	18256401	18256898	+	18256649	1.0	1.0
gene:TraesCS5B03G0035700	Chr5B	15178748	15179680	+	15179214	Chr5B	18287468	18288400	+	18287934	1.0	1.0
