gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS1B03G0000100	Chr1B	167368	172879	-	170123	Chr1B	6063714	6069225	+	6066469	1.0	1.0
gene:TraesCS1B03G0000200	Chr1B	455175	461656	-	458415	Chr1B	5774813	5781292	+	5778052	1.0	1.0
gene:TraesCS1B03G0000800	Chr1B	705806	707489	+	706647	Chr1B	5534106	5535789	-	5534947	1.0	1.0
gene:TraesCS1B03G0000900	Chr1B	715446	720451	-	717948	Chr1B	5521144	5526149	+	5523646	1.0	1.0
gene:TraesCS1B03G0001300	Chr1B	874691	877709	-	876200	Chr1B	5363876	5366894	+	5365385	1.0	1.0
gene:TraesCS1B03G0001600	Chr1B	1190948	1191943	+	1191445	Chr1B	5049959	5050954	-	5050456	1.0	1.0
gene:TraesCS1B03G0001900	Chr1B	1193433	1195230	+	1194331	Chr1B	5046671	5048468	-	5047569	1.0	1.0
gene:TraesCS1B03G0002000	Chr1B	1195555	1199187	-	1197371	Chr1B	5042714	5046346	+	5044530	1.0	1.0
gene:TraesCS1B03G0002100	Chr1B	1200778	1204863	-	1202820	Chr1B	5037037	5041122	+	5039079	1.0	1.0
gene:TraesCS1B03G0002200	Chr1B	1237000	1244167	+	1240583	Chr1B	4997732	5004899	-	5001315	1.0	1.0
gene:TraesCS1B03G0002400	Chr1B	1247087	1248968	+	1248027	Chr1B	4992931	4994812	-	4993871	1.0	1.0
gene:TraesCS1B03G0002500	Chr1B	1254021	1254909	-	1254465	Chr1B	4986990	4987878	+	4987434	1.0	1.0
gene:TraesCS1B03G0002700	Chr1B	1268212	1281120	-	1274666	Chr1B	4960778	4973687	+	4967232	1.0	1.0
gene:TraesCS1B03G0003000	Chr1B	1404047	1406431	+	1405239	Chr1B	4835659	4838043	-	4836851	1.0	1.0
gene:TraesCS1B03G0003100	Chr1B	1407228	1410094	-	1408661	Chr1B	4831996	4834862	+	4833429	1.0	1.0
gene:TraesCS1B03G0003200	Chr1B	1411477	1414749	-	1413113	Chr1B	4827489	4830613	+	4829051	1.0	1.0
gene:TraesCS1B03G0003300	Chr1B	1417992	1424275	-	1421133	Chr1B	4817917	4824200	+	4821058	1.0	1.0
gene:TraesCS1B03G0003400	Chr1B	1457859	1460957	+	1459408	Chr1B	4781205	4784333	-	4782769	1.0	1.0
gene:TraesCS1B03G0003800	Chr1B	1509827	1521650	-	1515738	Chr1B	4720499	4732322	+	4726410	1.0	1.0
gene:TraesCS1B03G0004000	Chr1B	1671721	1675652	-	1673686	Chr1B	4566402	4570333	+	4568367	1.0	1.0
gene:TraesCS1B03G0004100	Chr1B	1692906	1701917	-	1697411	Chr1B	4540137	4549148	+	4544642	1.0	1.0
gene:TraesCS1B03G0004400	Chr1B	1715344	1720242	-	1717793	Chr1B	4521812	4526710	+	4524261	1.0	1.0
gene:TraesCS1B03G0004700	Chr1B	1765180	1770270	+	1767725	Chr1B	4471783	4476874	-	4474328	1.0	0.999
gene:TraesCS1B03G0005100	Chr1B	1793871	1797954	-	1795912	Chr1B	4444099	4448182	+	4446140	1.0	1.0
gene:TraesCS1B03G0005300	Chr1B	1804328	1805251	-	1804789	Chr1B	4436802	4437725	+	4437263	1.0	1.0
gene:TraesCS1B03G0005500	Chr1B	1812059	1815337	-	1813698	Chr1B	4426716	4429994	+	4428355	1.0	0.997
gene:TraesCS1B03G0005600	Chr1B	1829519	1834861	-	1832190	Chr1B	4407192	4412534	+	4409863	1.0	1.0
gene:TraesCS1B03G0005800	Chr1B	1923843	1927998	-	1925920	Chr1B	4314055	4318210	+	4316132	1.0	1.0
gene:TraesCS1B03G0006100	Chr1B	1955887	1957879	+	1956883	Chr1B	4284551	4286543	-	4285547	1.0	1.0
gene:TraesCS1B03G0006200	Chr1B	2028942	2032657	-	2030799	Chr1B	4211311	4215026	+	4213168	1.0	1.0
gene:TraesCS1B03G0006500	Chr1B	2078159	2090731	-	2084445	Chr1B	4153369	4165941	+	4159655	1.0	1.0
