gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS2D03G0000100	Chr2D	80423	88053	+	84238	Chr2D	234506	242136	+	238321	1.0	1.0
gene:TraesCS2D03G0000200	Chr2D	89594	93032	-	91313	Chr2D	243677	247115	-	245396	1.0	1.0
gene:TraesCS2D03G0000300	Chr2D	103714	104259	-	103986	Chr2D	257787	258332	-	258059	1.0	1.0
gene:TraesCS2D03G0000400	Chr2D	302821	307159	+	304990	Chr2D	456241	460579	+	458410	1.0	1.0
gene:TraesCS2D03G0000700	Chr2D	324320	325720	+	325020	Chr2D	477742	479142	+	478442	1.0	1.0
gene:TraesCS2D03G0000800	Chr2D	328026	333944	-	330985	Chr2D	481222	487140	-	484181	1.0	1.0
gene:TraesCS2D03G0000900	Chr2D	378562	379694	-	379128	Chr2D	531758	532890	-	532324	1.0	1.0
gene:TraesCS2D03G0001000	Chr2D	392241	395710	+	393975	Chr2D	545439	548908	+	547173	1.0	1.0
gene:TraesCS2D03G0001300	Chr2D	402281	404837	+	403559	Chr2D	555479	558035	+	556757	1.0	1.0
gene:TraesCS2D03G0001400	Chr2D	465877	484345	+	475111	Chr2D	619017	637486	+	628251	1.0	1.0
gene:TraesCS2D03G0001500	Chr2D	512185	513105	+	512645	Chr2D	665330	666250	+	665790	1.0	1.0
gene:TraesCS2D03G0001600	Chr2D	517999	519840	+	518919	Chr2D	671146	672987	+	672066	1.0	1.0
gene:TraesCS2D03G0001800	Chr2D	675239	678446	+	676842	Chr2D	828570	831777	+	830173	1.0	1.0
gene:TraesCS2D03G0001900	Chr2D	679143	683010	-	681076	Chr2D	832474	836341	-	834407	1.0	1.0
gene:TraesCS2D03G0002000	Chr2D	685135	687301	+	686218	Chr2D	838466	840632	+	839549	1.0	1.0
gene:TraesCS2D03G0002400	Chr2D	1649503	1653274	-	1651388	Chr2D	1848249	1852020	-	1850134	1.0	1.0
gene:TraesCS2D03G0002600	Chr2D	1713950	1716334	+	1715142	Chr2D	1910110	1912494	+	1911302	1.0	1.0
gene:TraesCS2D03G0002700	Chr2D	1727399	1735511	+	1731455	Chr2D	1923558	1931671	+	1927614	1.0	1.0
gene:TraesCS2D03G0002800	Chr2D	1746682	1747581	+	1747131	Chr2D	1942843	1943742	+	1943292	1.0	1.0
gene:TraesCS2D03G0003100	Chr2D	1762395	1762988	+	1762691	Chr2D	1958553	1959146	+	1958849	1.0	1.0
gene:TraesCS2D03G0003300	Chr2D	1783898	1784497	+	1784197	Chr2D	1980056	1980655	+	1980355	1.0	1.0
gene:TraesCS2D03G0004000	Chr2D	2035288	2045623	-	2040455	Chr2D	2230173	2240508	-	2235340	1.0	1.0
gene:TraesCS2D03G0004200	Chr2D	2080191	2084496	-	2082343	Chr2D	2275076	2279381	-	2277228	1.0	1.0
gene:TraesCS2D03G0004400	Chr2D	2112411	2114551	+	2113481	Chr2D	2307297	2309437	+	2308367	1.0	0.994
gene:TraesCS2D03G0004700	Chr2D	2134921	2136477	+	2135699	Chr2D	2329808	2331364	+	2330586	1.0	1.0
gene:TraesCS2D03G0004900	Chr2D	2166064	2169473	+	2167768	Chr2D	2360952	2364361	+	2362656	1.0	1.0
gene:TraesCS2D03G0005500	Chr2D	2236212	2236508	+	2236360	Chr2D	2430174	2430470	+	2430322	1.0	1.0
gene:TraesCS2D03G0005600	Chr2D	2258249	2265583	-	2261916	Chr2D	2452211	2459545	-	2455878	1.0	1.0
gene:TraesCS2D03G0005900	Chr2D	2317970	2318269	+	2318119	Chr2D	2511969	2512268	+	2512118	1.0	1.0
gene:TraesCS2D03G0006000	Chr2D	2342608	2342999	+	2342803	Chr2D	2536596	2536987	+	2536791	1.0	1.0
