cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr6D	43783	27630303	Chr6D	114333	28725041	549	0.9999125683060109
Chr6D	32741204	38579793	Chr6D	33843537	41554810	94	0.9997234042553191
Chr6D	41537060	46120294	Chr6D	44502548	49064874	67	0.9994925373134329
Chr6D	49876700	56759409	Chr6D	53786472	61775063	59	0.9998474576271187
Chr6D	64544097	186375773	Chr6D	70232005	191937370	944	0.9996430084745763
Chr6D	188380630	235958205	Chr6D	193947139	241766063	74	0.9998243243243244
Chr6D	238222872	248745870	Chr6D	243971590	254483602	15	0.9994666666666667
Chr6D	253451229	261093398	Chr6D	259184463	266807270	12	1.0
Chr6D	263489417	302615547	Chr6D	269198403	310019891	145	0.9991034482758621
Chr6D	304859324	436495956	Chr6D	312256798	443690544	1035	0.9998995169082125
Chr6D	439160889	494362371	Chr6D	446346599	503099774	967	0.9995966907962771
