gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS4A03G0000100	Chr4A	80751	81905	-	81328	Chr4A	141269	142423	-	141846	1.0	0.999
gene:TraesCS4A03G0000200	Chr4A	186233	189459	+	187846	Chr4A	246768	249994	+	248381	1.0	1.0
gene:TraesCS4A03G0000300	Chr4A	189629	191253	-	190441	Chr4A	250164	251788	-	250976	1.0	1.0
gene:TraesCS4A03G0000700	Chr4A	192479	193797	-	193138	Chr4A	253014	254332	-	253673	1.0	1.0
gene:TraesCS4A03G0000800	Chr4A	204132	208744	+	206438	Chr4A	264667	269277	+	266972	1.0	1.0
gene:TraesCS4A03G0000900	Chr4A	464377	473615	+	468996	Chr4A	524575	533813	+	529194	1.0	1.0
gene:TraesCS4A03G0001000	Chr4A	527393	528028	-	527710	Chr4A	587595	588230	-	587912	1.0	1.0
gene:TraesCS4A03G0001100	Chr4A	724229	730229	-	727229	Chr4A	774846	780914	-	777880	1.0	1.0
gene:TraesCS4A03G0001300	Chr4A	737645	742881	-	740263	Chr4A	788235	793471	-	790853	1.0	1.0
gene:TraesCS4A03G0001500	Chr4A	879654	880180	+	879917	Chr4A	928965	929491	+	929228	1.0	1.0
gene:TraesCS4A03G0001600	Chr4A	890746	894177	+	892461	Chr4A	940059	943490	+	941774	1.0	1.0
gene:TraesCS4A03G0001700	Chr4A	899296	900070	+	899683	Chr4A	948612	949386	+	948999	1.0	1.0
gene:TraesCS4A03G0001800	Chr4A	923950	925283	-	924616	Chr4A	973267	974600	-	973933	1.0	1.0
gene:TraesCS4A03G0001900	Chr4A	1067430	1067825	+	1067627	Chr4A	1111855	1112250	+	1112052	1.0	1.0
gene:TraesCS4A03G0002000	Chr4A	1144047	1145891	-	1144969	Chr4A	1182643	1184487	-	1183565	1.0	1.0
gene:TraesCS4A03G0002100	Chr4A	1219342	1222566	+	1220954	Chr4A	1251883	1255107	+	1253495	1.0	1.0
gene:TraesCS4A03G0002200	Chr4A	1519322	1519796	-	1519559	Chr4A	1551484	1551958	-	1551721	1.0	1.0
gene:TraesCS4A03G0002600	Chr4A	1720645	1723263	+	1721954	Chr4A	1752647	1755265	+	1753956	1.0	1.0
gene:TraesCS4A03G0002900	Chr4A	1872733	1874596	-	1873664	Chr4A	1904658	1906521	-	1905589	1.0	1.0
gene:TraesCS4A03G0003000	Chr4A	1876368	1884930	-	1880649	Chr4A	1908293	1916855	-	1912574	1.0	1.0
gene:TraesCS4A03G0003100	Chr4A	1887453	1896045	-	1891749	Chr4A	1919378	1928160	-	1923769	1.0	1.0
gene:TraesCS4A03G0003200	Chr4A	1904683	1907590	-	1906136	Chr4A	1936989	1939896	-	1938442	1.0	1.0
gene:TraesCS4A03G0003300	Chr4A	1908725	1910020	-	1909372	Chr4A	1941031	1942326	-	1941678	1.0	1.0
gene:TraesCS4A03G0003600	Chr4A	2034845	2039676	-	2037260	Chr4A	2066859	2071690	-	2069274	1.0	1.0
gene:TraesCS4A03G0003800	Chr4A	2144567	2151745	-	2148156	Chr4A	2176584	2183552	-	2180068	1.0	1.0
gene:TraesCS4A03G0004000	Chr4A	2396423	2406197	+	2401310	Chr4A	2426489	2435975	+	2431232	1.0	1.0
gene:TraesCS4A03G0004100	Chr4A	2407157	2412110	-	2409633	Chr4A	2436935	2441888	-	2439411	1.0	1.0
gene:TraesCS4A03G0004200	Chr4A	2539821	2543289	-	2541555	Chr4A	2568834	2572302	-	2570568	1.0	1.0
gene:TraesCS4A03G0004300	Chr4A	2549120	2550253	-	2549686	Chr4A	2578133	2579266	-	2578699	1.0	1.0
gene:TraesCS4A03G0004700	Chr4A	2613805	2615102	+	2614453	Chr4A	2642524	2643821	+	2643172	1.0	1.0
gene:TraesCS4A03G0004800	Chr4A	2630028	2631685	-	2630856	Chr4A	2658870	2660527	-	2659698	1.0	1.0
gene:TraesCS4A03G0004900	Chr4A	2636507	2637932	-	2637219	Chr4A	2665153	2666578	-	2665865	1.0	1.0
gene:TraesCS4A03G0005100	Chr4A	2731327	2733151	+	2732239	Chr4A	2759579	2761403	+	2760491	1.0	1.0
gene:TraesCS4A03G0005200	Chr4A	2767289	2768680	+	2767984	Chr4A	2795535	2796926	+	2796230	1.0	1.0
gene:TraesCS4A03G0005400	Chr4A	2778918	2779295	-	2779106	Chr4A	2807164	2807541	-	2807352	1.0	1.0
gene:TraesCS4A03G0005500	Chr4A	2783068	2789950	-	2786509	Chr4A	2811309	2818191	-	2814750	1.0	1.0
gene:TraesCS4A03G0005700	Chr4A	2896900	2897945	-	2897422	Chr4A	2924658	2925703	-	2925180	1.0	1.0
gene:TraesCS4A03G0005800	Chr4A	2930585	2932852	+	2931718	Chr4A	2958343	2960610	+	2959476	1.0	1.0
gene:TraesCS4A03G0006100	Chr4A	2934653	2937212	+	2935932	Chr4A	2962411	2964970	+	2963690	1.0	1.0
gene:TraesCS4A03G0006200	Chr4A	2936960	2940182	-	2938571	Chr4A	2964718	2967940	-	2966329	1.0	1.0
gene:TraesCS4A03G0006300	Chr4A	2942998	2949575	-	2946286	Chr4A	2970756	2977333	-	2974044	1.0	1.0
gene:TraesCS4A03G0006700	Chr4A	2964010	2964348	+	2964179	Chr4A	2991770	2992108	+	2991939	1.0	1.0
gene:TraesCS4A03G0006900	Chr4A	2973914	2984600	-	2979257	Chr4A	3001674	3012360	-	3007017	1.0	1.0
gene:TraesCS4A03G0007100	Chr4A	3050569	3055204	-	3052886	Chr4A	3078384	3083019	-	3080701	1.0	1.0
gene:TraesCS4A03G0007300	Chr4A	3066937	3070613	-	3068775	Chr4A	3094751	3098427	-	3096589	1.0	1.0
gene:TraesCS4A03G0007500	Chr4A	3096625	3101109	-	3098867	Chr4A	3124440	3128924	-	3126682	1.0	1.0
gene:TraesCS4A03G0007600	Chr4A	3101459	3105097	-	3103278	Chr4A	3129274	3132912	-	3131093	1.0	1.0
gene:TraesCS4A03G0007700	Chr4A	3107379	3109574	-	3108476	Chr4A	3134993	3137188	-	3136090	1.0	1.0
gene:TraesCS4A03G0008000	Chr4A	3121834	3127155	-	3124494	Chr4A	3149250	3154571	-	3151910	1.0	1.0
gene:TraesCS4A03G0008100	Chr4A	3129258	3135283	+	3132270	Chr4A	3156674	3162699	+	3159686	1.0	1.0
gene:TraesCS4A03G0008200	Chr4A	3134254	3140594	-	3137424	Chr4A	3161670	3168001	-	3164835	1.0	1.0
gene:TraesCS4A03G0008300	Chr4A	3205933	3206955	+	3206444	Chr4A	3233342	3234364	+	3233853	1.0	1.0
gene:TraesCS4A03G0008400	Chr4A	3238765	3239608	+	3239186	Chr4A	3265654	3266497	+	3266075	1.0	1.0
gene:TraesCS4A03G0008600	Chr4A	3261415	3263213	+	3262314	Chr4A	3288308	3290106	+	3289207	1.0	1.0
gene:TraesCS4A03G0008700	Chr4A	3326425	3327669	+	3327047	Chr4A	3353318	3354562	+	3353940	1.0	1.0
gene:TraesCS4A03G0009200	Chr4A	3354842	3356422	+	3355632	Chr4A	3381734	3383314	+	3382524	1.0	1.0
gene:TraesCS4A03G0009300	Chr4A	3365529	3365927	-	3365728	Chr4A	3392421	3392819	-	3392620	1.0	1.0
gene:TraesCS4A03G0009500	Chr4A	3372257	3373213	+	3372735	Chr4A	3399149	3400105	+	3399627	1.0	1.0
gene:TraesCS4A03G0010000	Chr4A	3426660	3429932	+	3428296	Chr4A	3453551	3456823	+	3455187	1.0	1.0
gene:TraesCS4A03G0010100	Chr4A	3430702	3432528	+	3431615	Chr4A	3457593	3459419	+	3458506	1.0	1.0
gene:TraesCS4A03G0010400	Chr4A	3781940	3782996	+	3782468	Chr4A	3808132	3809188	+	3808660	1.0	1.0
gene:TraesCS4A03G0010500	Chr4A	3851393	3859754	-	3855573	Chr4A	3877244	3885605	-	3881424	1.0	1.0
gene:TraesCS4A03G0010700	Chr4A	3982734	3986342	-	3984538	Chr4A	4008747	4012353	-	4010550	1.0	1.0
gene:TraesCS4A03G0011000	Chr4A	4137896	4141435	+	4139665	Chr4A	4163912	4167451	+	4165681	1.0	1.0
gene:TraesCS4A03G0011100	Chr4A	4172321	4175894	-	4174107	Chr4A	4198335	4201908	-	4200121	1.0	1.0
gene:TraesCS4A03G0011200	Chr4A	4219071	4222355	-	4220713	Chr4A	4245084	4248368	-	4246726	1.0	1.0
gene:TraesCS4A03G0011700	Chr4A	4444831	4448386	-	4446608	Chr4A	4470936	4474485	-	4472710	0.998	0.985
gene:TraesCS4A03G0011800	Chr4A	4499291	4504470	-	4501880	Chr4A	4525392	4530571	-	4527981	1.0	1.0
gene:TraesCS4A03G0011900	Chr4A	4560580	4567056	-	4563818	Chr4A	4586680	4593156	-	4589918	1.0	1.0
gene:TraesCS4A03G0012300	Chr4A	4591425	4593909	-	4592667	Chr4A	4617528	4620012	-	4618770	1.0	1.0
gene:TraesCS4A03G0012400	Chr4A	4596684	4602109	-	4599396	Chr4A	4622787	4628212	-	4625499	1.0	1.0
gene:TraesCS4A03G0012600	Chr4A	4608919	4609802	+	4609360	Chr4A	4635015	4635898	+	4635456	1.0	1.0
gene:TraesCS4A03G0012700	Chr4A	4613865	4615981	+	4614923	Chr4A	4639993	4642109	+	4641051	1.0	1.0
gene:TraesCS4A03G0012800	Chr4A	4746764	4750893	-	4748828	Chr4A	4772892	4777021	-	4774956	1.0	1.0
gene:TraesCS4A03G0013000	Chr4A	4765486	4768837	-	4767161	Chr4A	4791615	4794966	-	4793290	1.0	1.0
gene:TraesCS4A03G0013100	Chr4A	4788667	4792278	+	4790472	Chr4A	4814798	4818409	+	4816603	1.0	1.0
gene:TraesCS4A03G0013200	Chr4A	4793797	4794162	+	4793979	Chr4A	4819928	4820293	+	4820110	1.0	1.0
gene:TraesCS4A03G0013400	Chr4A	4804208	4805190	-	4804699	Chr4A	4830339	4831321	-	4830830	1.0	1.0
gene:TraesCS4A03G0013500	Chr4A	4813813	4815493	-	4814653	Chr4A	4839945	4841625	-	4840785	1.0	1.0
gene:TraesCS4A03G0013600	Chr4A	4817972	4819251	+	4818611	Chr4A	4844104	4845383	+	4844743	1.0	1.0
gene:TraesCS4A03G0013700	Chr4A	4836842	4840913	+	4838877	Chr4A	4862983	4867054	+	4865018	1.0	1.0
gene:TraesCS4A03G0014400	Chr4A	5028278	5031575	+	5029926	Chr4A	5053309	5056606	+	5054957	1.0	1.0
gene:TraesCS4A03G0014500	Chr4A	5076587	5077492	-	5077039	Chr4A	5109049	5109954	-	5109501	1.0	1.0
gene:TraesCS4A03G0014600	Chr4A	5084326	5085797	+	5085061	Chr4A	5116788	5118259	+	5117523	1.0	1.0
gene:TraesCS4A03G0014700	Chr4A	5155150	5161485	+	5158317	Chr4A	5187625	5193964	+	5190794	1.0	1.0
gene:TraesCS4A03G0014800	Chr4A	5181978	5189544	-	5185761	Chr4A	5214190	5221571	-	5217880	1.0	1.0
gene:TraesCS4A03G0014900	Chr4A	5308550	5310305	+	5309427	Chr4A	5340100	5341855	+	5340977	1.0	1.0
gene:TraesCS4A03G0015000	Chr4A	5364132	5366668	+	5365400	Chr4A	5395677	5398213	+	5396945	1.0	1.0
gene:TraesCS4A03G0015100	Chr4A	5422681	5425025	+	5423853	Chr4A	5453987	5456331	+	5455159	1.0	1.0
gene:TraesCS4A03G0015500	Chr4A	5483729	5485212	+	5484470	Chr4A	5514236	5515719	+	5514977	1.0	1.0
gene:TraesCS4A03G0015600	Chr4A	5485467	5489196	-	5487331	Chr4A	5515974	5519703	-	5517838	1.0	1.0
gene:TraesCS4A03G0015700	Chr4A	5511627	5512007	-	5511817	Chr4A	5541925	5542305	-	5542115	1.0	1.0
gene:TraesCS4A03G0015800	Chr4A	5512600	5512905	-	5512752	Chr4A	5542898	5543203	-	5543050	1.0	1.0
gene:TraesCS4A03G0015900	Chr4A	5623219	5629414	-	5626316	Chr4A	5653484	5659679	-	5656581	1.0	1.0
gene:TraesCS4A03G0016200	Chr4A	5665706	5666551	+	5666128	Chr4A	5695971	5696816	+	5696393	1.0	1.0
gene:TraesCS4A03G0016300	Chr4A	5701054	5702409	-	5701731	Chr4A	5731321	5732676	-	5731998	1.0	1.0
gene:TraesCS4A03G0016500	Chr4A	5770600	5771973	-	5771286	Chr4A	5800472	5801845	-	5801158	1.0	1.0
gene:TraesCS4A03G0016600	Chr4A	5774081	5775445	-	5774763	Chr4A	5803953	5805317	-	5804635	1.0	1.0
gene:TraesCS4A03G0016700	Chr4A	5791428	5792902	+	5792165	Chr4A	5821301	5822775	+	5822038	1.0	1.0
gene:TraesCS4A03G0016800	Chr4A	5793526	5798387	-	5795956	Chr4A	5823399	5828260	-	5825829	1.0	1.0
gene:TraesCS4A03G0016900	Chr4A	5930148	5930953	+	5930550	Chr4A	5960010	5960815	+	5960412	1.0	1.0
gene:TraesCS4A03G0017000	Chr4A	5940061	5940753	+	5940407	Chr4A	5969923	5970615	+	5970269	1.0	1.0
gene:TraesCS4A03G0017100	Chr4A	5940214	5949407	-	5944810	Chr4A	5970076	5979269	-	5974672	1.0	1.0
gene:TraesCS4A03G0017400	Chr4A	5961057	5965225	+	5963141	Chr4A	5990920	5995088	+	5993004	1.0	1.0
gene:TraesCS4A03G0017500	Chr4A	5966525	5968986	+	5967755	Chr4A	5996388	5998850	+	5997619	1.0	1.0
gene:TraesCS4A03G0017700	Chr4A	5973701	5975480	+	5974590	Chr4A	6003565	6005344	+	6004454	1.0	1.0
gene:TraesCS4A03G0017900	Chr4A	5975822	5976896	-	5976359	Chr4A	6005686	6006760	-	6006223	1.0	1.0
gene:TraesCS4A03G0018000	Chr4A	5977575	5989753	+	5983664	Chr4A	6007439	6019618	+	6013528	1.0	1.0
gene:TraesCS4A03G0018100	Chr4A	5990164	5990274	-	5990219	Chr4A	6020029	6020139	-	6020084	1.0	1.0
gene:TraesCS4A03G0018400	Chr4A	5991936	5995690	-	5993813	Chr4A	6021801	6025555	-	6023678	1.0	1.0
gene:TraesCS4A03G0018700	Chr4A	6296499	6302298	+	6299398	Chr4A	6326360	6332159	+	6329259	1.0	1.0
gene:TraesCS4A03G0018800	Chr4A	6391360	6391976	+	6391668	Chr4A	6421338	6421954	+	6421646	1.0	1.0
gene:TraesCS4A03G0019000	Chr4A	6416551	6417188	+	6416869	Chr4A	6446530	6447167	+	6446848	1.0	1.0
gene:TraesCS4A03G0019100	Chr4A	6432221	6432724	+	6432472	Chr4A	6462200	6462703	+	6462451	1.0	1.0
gene:TraesCS4A03G0019200	Chr4A	6438299	6438727	+	6438513	Chr4A	6468278	6468706	+	6468492	1.0	1.0
gene:TraesCS4A03G0019500	Chr4A	6590079	6593605	-	6591842	Chr4A	6618320	6621846	-	6620083	1.0	1.0
gene:TraesCS4A03G0019600	Chr4A	6757135	6758842	-	6757988	Chr4A	6778391	6780098	-	6779244	1.0	1.0
gene:TraesCS4A03G0019700	Chr4A	6771869	6772548	-	6772208	Chr4A	6793125	6793804	-	6793464	1.0	1.0
gene:TraesCS4A03G0019900	Chr4A	6838732	6842686	+	6840709	Chr4A	6857090	6860832	+	6858961	1.0	0.999
gene:TraesCS4A03G0020000	Chr4A	6843680	6847028	-	6845354	Chr4A	6861826	6865174	-	6863500	1.0	1.0
