gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS6B03G0000100	Chr6B	4638	5609	+	5123	Chr6B	77548	78519	+	78033	1.0	1.0
gene:TraesCS6B03G0000500	Chr6B	137372	140150	-	138761	Chr6B	209043	211821	-	210432	1.0	1.0
gene:TraesCS6B03G0000700	Chr6B	140235	142046	-	141140	Chr6B	211906	213717	-	212811	1.0	1.0
gene:TraesCS6B03G0001400	Chr6B	303846	304801	+	304323	Chr6B	374832	375787	+	375309	1.0	1.0
gene:TraesCS6B03G0001700	Chr6B	350488	351809	+	351148	Chr6B	421473	422794	+	422133	1.0	1.0
gene:TraesCS6B03G0001900	Chr6B	394769	400060	+	397414	Chr6B	465360	470651	+	468005	1.0	1.0
gene:TraesCS6B03G0002500	Chr6B	746313	747823	-	747068	Chr6B	816206	817716	-	816961	1.0	1.0
gene:TraesCS6B03G0002600	Chr6B	800270	802828	-	801549	Chr6B	870201	872759	-	871480	1.0	0.997
gene:TraesCS6B03G0002700	Chr6B	858141	859548	+	858844	Chr6B	928070	929477	+	928773	1.0	1.0
gene:TraesCS6B03G0002900	Chr6B	880222	882564	-	881393	Chr6B	950153	952495	-	951324	1.0	1.0
gene:TraesCS6B03G0003000	Chr6B	919543	920926	-	920234	Chr6B	990892	992275	-	991583	1.0	1.0
gene:TraesCS6B03G0003100	Chr6B	921163	922065	+	921614	Chr6B	992512	993414	+	992963	1.0	1.0
gene:TraesCS6B03G0003300	Chr6B	1061255	1064455	+	1062855	Chr6B	1132613	1135813	+	1134213	1.0	0.999
gene:TraesCS6B03G0003400	Chr6B	1077423	1085953	-	1081688	Chr6B	1148781	1157313	-	1153047	1.0	1.0
gene:TraesCS6B03G0003800	Chr6B	1126724	1127689	-	1127206	Chr6B	1198089	1199054	-	1198571	1.0	1.0
gene:TraesCS6B03G0003900	Chr6B	1217867	1224899	+	1221383	Chr6B	1289243	1296275	+	1292759	1.0	1.0
gene:TraesCS6B03G0004100	Chr6B	1270563	1271358	-	1270960	Chr6B	1341939	1342734	-	1342336	1.0	1.0
gene:TraesCS6B03G0004500	Chr6B	1356705	1358539	+	1357622	Chr6B	1428084	1429918	+	1429001	1.0	1.0
gene:TraesCS6B03G0004800	Chr6B	1449770	1452891	-	1451330	Chr6B	1520441	1523562	-	1522001	1.0	1.0
gene:TraesCS6B03G0004900	Chr6B	1463243	1464019	+	1463631	Chr6B	1533915	1534691	+	1534303	1.0	1.0
gene:TraesCS6B03G0005700	Chr6B	1553584	1555369	-	1554476	Chr6B	1624258	1626043	-	1625150	1.0	1.0
gene:TraesCS6B03G0006000	Chr6B	1585204	1589474	-	1587339	Chr6B	1655885	1660155	-	1658020	1.0	1.0
gene:TraesCS6B03G0006600	Chr6B	1918826	1930684	+	1924755	Chr6B	1986136	1997994	+	1992065	1.0	1.0
