gene_id	cs_chr	cs_start	cs_end	cs_strand	cs_midpoint	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	CS_CAU_tgt_strand	CS_CAU_tgt_midpoint	CS_CAU_coverage	CS_CAU_identity
gene:TraesCS7A03G0000200	Chr7A	237447	240619	+	239033	Chr7A	301743	304915	+	303329	1.0	1.0
gene:TraesCS7A03G0000300	Chr7A	241763	245662	-	243712	Chr7A	306059	309958	-	308008	1.0	1.0
gene:TraesCS7A03G0000400	Chr7A	249969	253391	+	251680	Chr7A	314265	317687	+	315976	1.0	1.0
gene:TraesCS7A03G0001000	Chr7A	287782	289092	+	288437	Chr7A	352080	353390	+	352735	1.0	1.0
gene:TraesCS7A03G0001800	Chr7A	329150	329954	+	329552	Chr7A	393459	394263	+	393861	1.0	1.0
gene:TraesCS7A03G0001900	Chr7A	339975	343261	-	341618	Chr7A	404291	407577	-	405934	1.0	1.0
gene:TraesCS7A03G0002500	Chr7A	458993	460972	-	459982	Chr7A	523330	525309	-	524319	1.0	1.0
gene:TraesCS7A03G0002900	Chr7A	625626	629540	+	627583	Chr7A	689970	693884	+	691927	1.0	1.0
gene:TraesCS7A03G0003000	Chr7A	636996	649433	-	643214	Chr7A	701340	713777	-	707558	1.0	1.0
gene:TraesCS7A03G0003300	Chr7A	658982	671984	-	665483	Chr7A	723326	736329	-	729827	1.0	1.0
gene:TraesCS7A03G0003400	Chr7A	751650	755043	-	753346	Chr7A	815986	819379	-	817682	1.0	1.0
gene:TraesCS7A03G0003500	Chr7A	776562	777005	-	776783	Chr7A	840901	841344	-	841122	1.0	1.0
gene:TraesCS7A03G0004100	Chr7A	965060	971771	+	968415	Chr7A	1029431	1036142	+	1032786	1.0	1.0
gene:TraesCS7A03G0004300	Chr7A	1116397	1117068	+	1116732	Chr7A	1180554	1181225	+	1180889	1.0	1.0
gene:TraesCS7A03G0004500	Chr7A	1168399	1170394	+	1169396	Chr7A	1231173	1233168	+	1232170	1.0	1.0
gene:TraesCS7A03G0004800	Chr7A	1288480	1289699	+	1289089	Chr7A	1349730	1350949	+	1350339	1.0	1.0
gene:TraesCS7A03G0004900	Chr7A	1292673	1293108	-	1292890	Chr7A	1353923	1354358	-	1354140	1.0	1.0
gene:TraesCS7A03G0005000	Chr7A	1295626	1310738	-	1303182	Chr7A	1356876	1371988	-	1364432	1.0	1.0
gene:TraesCS7A03G0005100	Chr7A	1331278	1332098	-	1331688	Chr7A	1391990	1392810	-	1392400	1.0	1.0
