cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr3B	74037	6805777	Chr3B	338867	8676468	151	0.9999403973509933
Chr3B	10012714	35821190	Chr3B	11872739	37828149	390	0.9997000000000001
Chr3B	38137652	97070979	Chr3B	40139601	100734414	615	0.9995983739837399
Chr3B	99457041	202823600	Chr3B	103106139	207232061	608	0.9998651315789472
Chr3B	205225044	206704475	Chr3B	209627778	211106419	11	1.0
Chr3B	209383926	219278363	Chr3B	213772500	223626767	87	0.999712643678161
Chr3B	223825022	227125651	Chr3B	228152411	231443856	13	1.0
Chr3B	230843333	241641396	Chr3B	235151782	246146847	55	0.999890909090909
Chr3B	247259756	288293953	Chr3B	251728707	292918503	200	0.9996250000000001
Chr3B	295003050	296080909	Chr3B	299598006	300674832	4	1.0
Chr3B	301146877	307711148	Chr3B	305722796	312460805	9	1.0
Chr3B	310640808	322569052	Chr3B	315423458	327859935	16	0.9995
Chr3B	325241568	329207761	Chr3B	330771628	334829069	5	0.9997999999999999
Chr3B	333847811	350060262	Chr3B	339447990	355806003	24	0.9999583333333334
Chr3B	352247049	355732625	Chr3B	357987656	361480532	7	0.9995714285714286
Chr3B	358434724	375781155	Chr3B	365978967	382733598	35	0.9999428571428572
Chr3B	378145074	416556469	Chr3B	385090550	424341986	163	0.9992515337423313
Chr3B	418922290	480164325	Chr3B	427158716	488343311	374	0.9998395721925134
Chr3B	482733323	529649040	Chr3B	490905401	537520644	270	0.999662962962963
Chr3B	534144519	851872904	Chr3B	542340976	866965766	2833	0.9997197317331451
