cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr7B	311571913	321770729	Chr7B	324284396	334094748	19	0.9999473684210528
Chr7B	324796789	326779654	Chr7B	320472568	322349566	5	1.0
Chr7B	347847291	350196935	Chr7B	373923071	376275456	5	1.0
Chr7B	343118388	344172727	Chr7B	360986874	362026422	5	1.0
Chr7B	352166805	361784297	Chr7B	351070583	360662183	11	0.9998181818181819
Chr7B	34602	183070778	Chr7B	112956	185387024	1400	0.9998221428571429
Chr7B	185568431	271798168	Chr7B	187871213	277138146	387	0.9994677002583979
Chr7B	275290836	293144785	Chr7B	278133684	296165018	28	0.9998928571428571
Chr7B	295582888	308002245	Chr7B	298586289	313241861	19	0.9998421052631579
Chr7B	327149605	342648507	Chr7B	334590776	350638940	33	0.9998787878787879
Chr7B	362128535	393308791	Chr7B	366540148	402362325	135	0.9998444444444443
Chr7B	396179589	410599513	Chr7B	405214377	419856712	52	0.9999230769230769
Chr7B	413179671	423778078	Chr7B	422433307	433198066	45	0.9997777777777777
Chr7B	425791676	545780843	Chr7B	435189001	556493737	783	0.9996743295019158
Chr7B	547795684	763873968	Chr7B	558489645	778210850	1891	0.9998593336858805
