cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr4D	410644	141272747	Chr4D	278704	142873694	1423	0.9998615600843288
Chr4D	143939177	159173700	Chr4D	145535248	160739689	18	0.9997777777777779
Chr4D	163710731	183649096	Chr4D	165277432	185791697	27	0.9998518518518519
Chr4D	188969484	192971731	Chr4D	191707324	195701669	6	0.9998333333333332
Chr4D	195239705	198785582	Chr4D	197964556	201501568	7	1.0
Chr4D	201663396	212424003	Chr4D	204810476	216045411	27	1.0
Chr4D	214566503	228344802	Chr4D	218183544	231953982	23	0.999
Chr4D	230503918	238850566	Chr4D	234116253	242429583	11	0.9995454545454546
Chr4D	241150325	249170093	Chr4D	244719816	253560404	18	1.0
Chr4D	251744642	256746015	Chr4D	256130613	261125088	7	0.999
Chr4D	259082246	261473317	Chr4D	263448402	265832544	6	1.0
Chr4D	264155329	268258812	Chr4D	268511127	272600104	7	1.0
Chr4D	270831155	284417863	Chr4D	275173372	288727391	19	0.9977894736842104
Chr4D	286726699	329466878	Chr4D	291028133	333977936	223	0.9996816143497758
Chr4D	331779306	375686787	Chr4D	336282651	380348345	303	0.9998415841584158
Chr4D	377775997	410310201	Chr4D	382473459	416810546	237	0.9998987341772152
Chr4D	412602740	514856841	Chr4D	419595411	523860881	1195	0.9996150627615062
