cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr2A	254644	245450318	Chr2A	327615	247330316	2230	0.9996793721973094
Chr2A	253743190	256655987	Chr2A	255608444	258516903	6	1.0
Chr2A	260439994	262863052	Chr2A	262293570	264713951	8	1.0
Chr2A	265047681	267066623	Chr2A	266890401	268903874	7	1.0
Chr2A	269745498	277781081	Chr2A	271579314	279801318	16	1.0
Chr2A	279829079	286214975	Chr2A	281837596	288211133	23	0.9997826086956522
Chr2A	288400047	290885926	Chr2A	290387180	292869763	5	1.0
Chr2A	293418889	299114911	Chr2A	295396358	301105481	8	1.0
Chr2A	301588230	310989480	Chr2A	303572402	312923562	11	0.9997272727272728
Chr2A	313973952	319393694	Chr2A	315892091	322380273	7	1.0
Chr2A	322290657	328918706	Chr2A	325262776	331882731	12	0.9999166666666668
Chr2A	335357629	339528195	Chr2A	337806243	341949205	9	0.9998888888888888
Chr2A	344692562	366697851	Chr2A	349681223	371945691	35	0.9997714285714286
Chr2A	368718225	399870506	Chr2A	373961768	405024844	101	0.998881188118812
Chr2A	404353227	404860525	Chr2A	409471809	409973550	4	1.0
Chr2A	409607272	490304153	Chr2A	414664605	495337280	278	0.9998561151079138
Chr2A	492634434	551591979	Chr2A	497662330	556409931	321	0.9996261682242992
Chr2A	553651491	787195035	Chr2A	558459102	791708601	2701	0.9998119215105518
