cs_chr	cs_start	cs_end	CS_CAU_tgt_chr	CS_CAU_tgt_start	CS_CAU_tgt_end	n_anchors	mean_identity
Chr6B	294393465	294907765	Chr6B	294742063	295256255	5	1.0
Chr6B	295492387	297214023	Chr6B	295838958	297551225	12	0.9975
Chr6B	5123	109698670	Chr6B	78033	110064769	1155	0.9998450216450215
Chr6B	112200748	114854793	Chr6B	112558949	115206577	7	0.9998571428571429
Chr6B	117445277	246426312	Chr6B	117686563	246526165	817	0.9997564259485924
Chr6B	249274084	259111612	Chr6B	249341476	259282023	30	0.9998666666666668
Chr6B	261263057	268713242	Chr6B	261424056	268876802	32	0.99990625
Chr6B	271066163	271204143	Chr6B	271216407	271354579	6	1.0
Chr6B	275888096	289129738	Chr6B	276317933	289500831	45	0.9998222222222223
Chr6B	292829101	294158991	Chr6B	293197496	294512789	4	1.0
Chr6B	297711473	298890153	Chr6B	300335371	301512346	3	0.9953333333333333
Chr6B	301908638	308701890	Chr6B	302980372	310001193	27	0.9974814814814815
Chr6B	310986731	317711029	Chr6B	312267323	323344477	14	1.0
Chr6B	323344757	327439454	Chr6B	325259061	329326200	11	1.0
Chr6B	348550830	349949438	Chr6B	356753079	358140799	5	0.9987999999999999
Chr6B	378204009	381551074	Chr6B	385082331	388613514	5	1.0
Chr6B	410641112	435164669	Chr6B	420425140	445129197	60	0.9985666666666667
Chr6B	437584110	449326149	Chr6B	447526555	461471194	53	0.9999622641509435
Chr6B	452819490	629148387	Chr6B	464950269	642683470	1032	0.9998827519379844
Chr6B	631157333	635284956	Chr6B	645115543	649239452	37	1.0
Chr6B	638657051	731065543	Chr6B	652812294	746822085	1117	0.9998343777976724
